" Tabela 3 - Minerais na composição de alimentos por 100 gramas de parte comestível",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"(continuação)"
"Código e descrição do alimento ",,"Código e descrição da preparação",,"Cálcio 
(mg)","Mag-
nésio 
(mg)","Man-
ganês 
(mg)","Fósforo 
(mg)","Ferro 
(mg)","Sódio 
(mg)","Sódio 
de 
adição 
(mg)","Potás-
sio
(mg)","Co-
bre 
(mg)","Zinco
(mg)","Selê-
nio
(mcg)"
"Cereais e leguminosas",,,,,,,,,,,,,,
6300101,"Arroz (polido, parboilizado, agulha, agulhinha, etc.)",99,"Não se aplica","3,51","2,23","0,29","17,77","0,08","1,19","382,00","14,53","0,01","0,49","0,45"
6300201,"Arroz integral",99,"Não se aplica","5,15","58,13","0,62","104,82","0,26","1,23","282,00","74,42","0,02","0,68","0,45"
6300701,"Milho (em grão)",1,"Cru(a)","3,15","26,01","0,16","75,00","0,45","244,96","245,00","212,05","0,05","0,61","2,90"
6300701,"Milho (em grão)",2,"Cozido(a)","3,15","26,01","0,16","75,00","0,45","244,96","245,00","212,05","0,05","0,61","2,90"
6300701,"Milho (em grão)",3,"Grelhado(a)/brasa/churrasco","3,15","26,01","0,16","75,00","0,45","244,96","245,00","212,05","0,05","0,61","2,90"
6300701,"Milho (em grão)",4,"Assado(a)","3,15","26,01","0,16","75,00","0,45","244,96","245,00","212,05","0,05","0,61","2,90"
6300701,"Milho (em grão)",7,"Refogado(a)","3,00","26,00","0,16","75,00","0,44","-","245,00","212,00","0,05","0,61","2,90"
6300701,"Milho (em grão)",13,"Ensopado","3,00","26,00","0,16","75,00","0,44","-","245,00","212,00","0,05","0,61","2,90"
6300701,"Milho (em grão)",99,"Não se aplica","3,15","26,01","0,16","75,00","0,45","244,96","245,00","212,05","0,05","0,61","2,90"
6300706,"Canjiquinha de milho em grão",1,"Cru(a)","3,45","6,93","0,03","17,91","0,74","131,50","126,00","25,96","0,02","0,13","2,85"
6300706,"Canjiquinha de milho em grão",2,"Cozido(a)","3,37","6,93","0,03","17,91","0,74","5,01","126,00","25,93","0,02","0,13","1,98"
6300706,"Canjiquinha de milho em grão",13,"Ensopado","3,37","6,93","0,03","17,91","0,74","5,01","126,00","25,93","0,02","0,13","2,85"
6300706,"Canjiquinha de milho em grão",14,"Mingau","3,37","6,93","0,03","17,91","0,74","5,01","126,00","25,93","0,02","0,13","1,98"
