"Tabela 4 - Vitaminas na composição de alimentos por 100 gramas de parte comestível",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"(continuação)"
"Código e descrição do alimento ",,"Código e descrição da preparação",,"Reti-
nol
(mcg)","Vitami-
na A
(RAE)
(mcg)","Tiami-
na
(mg)","Ribofla-
vina
(mg)","Niaci-
na
(mg)","Niaci-
na
(NE)
(mg)","Pirido-
xina
(mg)","Coba-
lami-
na
(mcg)","Folato
(DFE)
(mcg)","Vitami-
na D
(mcg)","Vitami-
na E
(mg)","Vitami-
na C
(mg)"
"Cereais e leguminosas",,,,,,,,,,,,,,,
6300101,"Arroz (polido, parboilizado, agulha, agulhinha, etc.)",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","0,08","-"
6300201,"Arroz integral",99,"Não se aplica","-","-","0,08","-","-","-","0,08","-","-","-","0,08","-"
6300701,"Milho (em grão)",1,"Cru(a)","-","13,17","0,22","0,07","1,61","2,00","0,06","-","46,00","-","0,57","6,20"
6300701,"Milho (em grão)",2,"Cozido(a)","-","13,17","0,22","0,07","1,61","2,00","0,06","-","46,00","-","0,57","6,20"
6300701,"Milho (em grão)",3,"Grelhado(a)/brasa/churrasco","-","13,17","0,22","0,07","1,61","2,00","0,06","-","46,00","-","0,57","6,20"
6300701,"Milho (em grão)",4,"Assado(a)","-","13,17","0,22","0,07","1,61","2,00","0,06","-","46,00","-","0,57","6,20"
6300701,"Milho (em grão)",7,"Refogado(a)","-","13,17","0,22","0,07","1,61","2,00","0,06","-","46,00","-","0,57","6,20"
6300701,"Milho (em grão)",13,"Ensopado","-","13,17","0,22","0,07","1,61","2,00","0,06","-","46,00","-","0,57","6,20"
6300701,"Milho (em grão)",99,"Não se aplica","-","13,17","0,22","0,07","1,61","2,00","0,06","-","46,00","-","0,57","6,20"
6300706,"Canjiquinha de milho em grão",1,"Cru(a)","-","1,83","0,11","0,07","0,91","1,02","0,03","-","20,81","-","0,18","-"
6300706,"Canjiquinha de milho em grão",2,"Cozido(a)","-","1,83","0,11","0,07","0,91","1,02","0,03","-","20,81","-","0,03","-"
6300706,"Canjiquinha de milho em grão",13,"Ensopado","-","1,83","0,11","0,07","0,91","1,02","0,03","-","20,81","-","0,18","-"
6300706,"Canjiquinha de milho em grão",14,"Mingau","-","1,83","0,11","0,07","0,91","1,02","0,03","-","20,81","-","0,03","-"
6300706,"Canjiquinha de milho em grão",15,"Sopa","-","33,48","0,03","0,03","0,51","0,67","0,04","0,02","9,28","-","0,20","2,10"
6300706,"Canjiquinha de milho em grão",99,"Não se aplica","-","1,83","0,11","0,07","0,91","1,02","0,03","-","20,81","-","0,03","-"
6300707,"Xerém de milho",99,"Não se aplica","-","1,83","0,11","0,07","0,91","1,02","0,03","-","20,81","-","0,03","-"
6301001,"Amendoim (em grão) in natura",99,"Não se aplica","-","-","0,64","0,14","12,07","16,23","0,35","-","240,00","-","8,33","-"
6301101,"Ervilha em grão",99,"Não se aplica","-","40,08","0,26","0,15","2,02","2,64","0,22","-","63,00","-","0,37","14,20"
6301201,"Fava (em grão)",99,"Não se aplica","-","18,83","0,13","0,09","1,20","2,00","0,03","-","58,00","-","0,34","19,80"
6301204,"Mangalô amargo em grão",99,"Não se aplica","-","18,83","0,13","0,09","1,20","2,00","0,03","-","58,00","-","0,34","19,80"
6301603,"Feijão-de-corda",99,"Não se aplica","-","39,58","0,10","0,15","1,40","2,02","0,07","-","127,00","-","0,45","2,20"
6301634,"Feijão-verde",99,"Não se aplica","-","39,58","0,10","0,15","1,40","2,02","0,07","-","127,00","-","0,45","2,20"
6302001,"Semente de linhaça",99,"Não se aplica","-","-","1,64","0,16","3,08","8,03","0,47","-","87,00","-","0,31","0,60"
6302602,"Andu",99,"Não se aplica","-","-","0,07","0,03","0,08","1,23","0,06","-","48,60","-","0,69","-"
6302801,"Grão de bico",99,"Não se aplica","-","1,33","0,12","0,06","0,53","1,94","0,14","-","172,00","-","0,58","1,30"
6302901,"Lentilha",99,"Não se aplica","-","0,42","0,17","0,07","1,06","2,41","0,18","-","181,00","-","0,30","1,50"
6303001,"Soja em grão",99,"Não se aplica","-","0,42","0,16","0,29","0,40","4,43","0,23","-","54,00","-","0,57","1,70"
6303102,"Feijão (preto, mulatinho, roxo, rosinha, etc.)",99,"Não se aplica","-","-","0,07","0,03","0,08","1,23","0,06","-","48,60","-","0,69","-"
6303501,"Quirera não especificada",99,"Não se aplica","-","1,83","0,11","0,07","0,91","1,02","0,03","-","20,81","-","0,03","-"
6304034,"Feijão-verde orgânico",99,"Não se aplica","-","39,58","0,10","0,15","1,40","2,02","0,07","-","127,00","-","0,45","2,20"
6304101,"Feijão orgânico",99,"Não se aplica","-","-","0,07","0,03","0,08","1,23","0,06","-","48,60","-","0,69","-"
6304201,"Pipoca  light",99,"Não se aplica","-","8,19","0,09","0,07","1,92","3,10","0,13","-","25,81","-","1,24","-"
6304301,"Arroz  orgânico",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","0,08","-"
6304401,"Arroz integral orgânico",99,"Não se aplica","-","-","0,08","-","-","-","0,08","-","-","-","0,08","-"
6304602,"Feijão-de-soja orgânico",99,"Não se aplica","-","0,42","0,16","0,29","0,40","4,43","0,23","-","54,00","-","0,57","1,70"
6304901,"Quinoa",99,"Não se aplica","-","0,22","0,11","0,10","0,47","1,27","0,15","-","56,88","-","0,96","-"
"Hortaliças tuberosas",,,,,,,,,,,,,,,
6400101,"Batata-inglesa",1,"Cru(a)","-","0,17","0,10","0,02","1,31","1,76","0,27","-","9,00","-","0,06","7,40"
6400101,"Batata-inglesa",2,"Cozido(a)","-","0,17","0,10","0,02","1,31","1,76","0,27","-","9,00","-","0,06","7,40"
6400101,"Batata-inglesa",3,"Grelhado(a)/brasa/churrasco","-","0,17","0,10","0,02","1,31","1,76","0,27","-","9,00","-","0,06","7,40"
6400101,"Batata-inglesa",4,"Assado(a)","-","0,17","0,10","0,02","1,31","1,76","0,27","-","9,00","-","0,06","7,40"
6400101,"Batata-inglesa",5,"Frito(a)","-","0,28","0,17","0,03","2,20","2,96","0,45","-","15,11","-","1,20","12,43"
6400101,"Batata-inglesa",7,"Refogado(a)","-","0,17","0,10","0,02","1,31","1,76","0,27","-","9,00","-","0,30","7,40"
6400101,"Batata-inglesa",8,"Molho vermelho","-","3,62","0,08","0,03","1,25","1,64","0,24","-","9,40","-","0,33","7,32"
6400101,"Batata-inglesa",9,"Molho branco","20,70","21,21","0,10","0,06","1,15","1,78","0,22","0,09","10,80","0,23","0,11","5,92"
6400101,"Batata-inglesa",10,"Ao alho e óleo","-","0,28","0,17","0,03","2,20","2,96","0,45","-","15,11","-","1,20","12,43"
6400101,"Batata-inglesa",11,"Com manteiga/óleo","-","0,17","0,10","0,02","1,31","1,76","0,27","-","9,00","-","0,30","7,40"
6400101,"Batata-inglesa",13,"Ensopado","-","0,17","0,10","0,02","1,31","1,76","0,27","-","9,00","-","0,30","7,40"
6400101,"Batata-inglesa",15,"Sopa","-","33,48","0,03","0,03","0,51","0,67","0,04","0,02","9,28","-","0,20","2,10"
6400101,"Batata-inglesa",99,"Não se aplica","-","0,17","0,10","0,02","1,31","1,76","0,27","-","9,00","-","0,06","7,40"
6400303,"Mandioquinha salsa (batata-baroa)",2,"Cozido(a)","-","787,00","0,06","0,05","0,54","1,00","0,17","-","6,00","-","0,94","12,80"
6400303,"Mandioquinha salsa (batata-baroa)",7,"Refogado(a)","-","787,00","0,06","0,05","0,54","1,00","0,17","-","6,00","-","1,10","12,80"
6400303,"Mandioquinha salsa (batata-baroa)",13,"Ensopado","-","787,00","0,06","0,05","0,54","1,00","0,17","-","6,00","-","1,10","12,80"
6400303,"Mandioquinha salsa (batata-baroa)",99,"Não se aplica","-","787,00","0,06","0,05","0,54","1,00","0,17","-","6,00","-","0,94","12,80"
6400304,"Cenoura amarela (batata-baroa)",99,"Não se aplica","-","787,00","0,06","0,05","0,54","1,00","0,17","-","6,00","-","0,94","12,80"
6400401,"Batata-doce",1,"Cru(a)","-","787,00","0,06","0,05","0,54","1,00","0,17","-","6,00","-","0,94","12,80"
6400401,"Batata-doce",2,"Cozido(a)","-","787,00","0,06","0,05","0,54","1,00","0,17","-","6,00","-","0,94","12,80"
6400401,"Batata-doce",4,"Assado(a)","-","960,88","0,11","0,11","1,49","2,15","0,29","-","6,00","-","0,71","19,60"
6400401,"Batata-doce",5,"Frito(a)","-","2526,27","0,18","0,15","1,73","3,22","0,53","-","19,26","-","4,14","41,09"
6400401,"Batata-doce",7,"Refogado(a)","-","787,00","0,06","0,05","0,54","1,00","0,17","-","6,00","-","1,10","12,80"
6400401,"Batata-doce",13,"Ensopado","-","787,00","0,06","0,05","0,54","1,00","0,17","-","6,00","-","1,10","12,80"
6400401,"Batata-doce",99,"Não se aplica","-","787,00","0,06","0,05","0,54","1,00","0,17","-","6,00","-","0,94","12,80"
6400501,"Inhame",1,"Cru(a)","-","1043,46","0,07","0,06","0,56","0,91","0,19","-","22,00","-","0,77","9,10"
6400501,"Inhame",2,"Cozido(a)","-","1043,46","0,07","0,06","0,56","0,91","0,19","-","22,00","-","0,77","9,10"
6400501,"Inhame",4,"Assado(a)","-","960,88","0,11","0,11","1,49","2,15","0,29","-","6,00","-","0,71","19,60"
6400501,"Inhame",5,"Frito(a)","-","1043,46","0,07","0,06","0,56","0,91","0,19","-","22,00","-","0,93","9,10"
6400501,"Inhame",7,"Refogado(a)","-","1043,46","0,07","0,06","0,56","0,91","0,19","-","22,00","-","0,93","9,10"
